Species	Unknown_disease_FRRP	Black_band_disease_FRRP	Dark_spots_FRRP	Red_band_FRRP	White_band_FRRP	White_plague_FRRP	White_spot_FRRP	Yellow_band_FRRP	Algal_infection_HICORDIS	Algal_overgrowth_HICORDIS	Black_band_disease_HICORDIS	Bleaching_HICORDIS	Ciliates_HICORDIS	Corallophila_huysmansii_HICORDIS	Cyanobacteria_HICORDIS	Discoloration_HICORDIS	Endolithic_fungal_infection_HICORDIS	Endolithic_hypermycosis_HICORDIS	Gear_entanglement_HICORDIS	Growth_anomalies_HICORDIS	Macroalgal_overgrowth_HICORDIS	No_Disease_HICORDIS	Pigmentation_response_HICORDIS	Predation_HICORDIS	Recently_denuded_skeleton_HICORDIS	Swollen_patches_HICORDIS	Tissue_loss_HICORDIS	Trematodiasis_HICORDIS	White_syndrome_HICORDIS	Total_diseased_Lamb_et_al	Total_compromised_or_bleached_Lamb_et_al	White_syndrome_Lamb_et_al	Black_band_disease_Lamb_et_al	Brown_band_Lamb_et_al	Skeletal_eroding_band_Lamb_et_al	Growth_anomalies_Lamb_et_al
POR_Porites_compressa									0.003459030337397001	0.029515168698611	0.0	0.006833002551744001	0.000198468953785	8.50581230507514e-05	0.0	0.00150269350723	0.000113410830734	0.0	0.0	0.05324638502977	0.005330309044514	0.819875248086192	0.00640771193649	0.005528777998299	0.0	0.000311879784519	0.016359512333428	0.051204990076552014	2.83527076835838e-05							
POR_Porites_divaricata	0.08900000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0																												
POR_Porites_duerdeni									0.0	0.06989247311828	0.0	0.146505376344086	0.0	0.0	0.0	0.020161290322581	0.0	0.0	0.0	0.005376344086022	0.0	0.6989247311827961	0.024193548387097	0.014784946236558997	0.0	0.0	0.014784946236558997	0.005376344086022	0.0							
POR_Porites_evermanni									0.011732229123534	0.051069703243616	0.0	0.011387163561077	0.0	0.0027605244996550004	0.0	0.008626639061422	0.00034506556245699995	0.0	0.0	0.038302277432712015	0.008971704623879	0.768461007591442	0.020358868184955	0.014147688060732	0.0	0.00034506556245699995	0.021048999309869	0.042443064182195005	0.0							
POR_Porites_furcata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																												
POR_Porites_lichen									0.0	0.034120734908137	0.0	0.047244094488189	0.0	0.0	0.0	0.006999125109361	0.0	0.0	0.0	0.006561679790025999	0.00174978127734	0.78915135608049	0.028871391076116	0.010498687664041998	0.0	0.0	0.038057742782152	0.036745406824147	0.0							
POR_Porites_lobata									0.002725546339208	0.05599669392213	0.0	0.00472296838563	0.000137753244581	0.000403420216273	0.0	0.009072035107398	0.0013972114807489998	5.90371048203796e-05	0.0	0.06741053418740403	0.005293660398894	0.7406991961114229	0.028613316802944	0.010577481280318	0.000108234692171	0.002046619633773	0.010016628784524	0.060719662307761	0.0							
POR_Porites_lutea									0.003676470588235	0.125	0.0	0.007352941176471	0.0	0.0	0.0	0.003676470588235	0.0	0.0	0.0	0.007352941176471	0.0	0.691176470588235	0.047794117647059015	0.047794117647059015	0.0	0.0	0.058823529411765	0.007352941176471	0.0							
POR_Porites_porites	0.381	0.0	0.0	0.0	0.0	0.0	0.0	0.0																												
POR_Porites_rus									0.016	0.008	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.008	0.0	0.8	0.136	0.008	0.0	0.0	0.016	0.0	0.0							
