Disease_Trait,Diversity_Trait,N_Microbes,Compartment,Package,Model,pVal,R_Squared,Adj_R_Squared,x_Trait_Slope_95CI,Intercept_95CI,Parameters,Estimated_Parameter_95CI,AIC,AICc,Minimum_AIC,Minimum_AICc
percent_disease,gini_index_all,415583,all,caper,"pgls(x_trait~y_trait, data=comp.data)",0.444950616,0.028051494,-0.018231768,3.902922282,0.176846508750584 + 2.13353064582954 - -1.78646935417046,"lambda=1,delta=1,kappa=1",NA,-20.5655098,-19.9655098,,
percent_disease,gini_index_all,415583,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.552599853,0.017051157,-0.029755931,3.910337471,0.162290062597135 + 1.98111775190954 - -1.93888224809046,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.633111040999868,-47.47605455,-46.87605455,,
percent_disease,gini_index_all,415583,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.447158369,0.02778428,-0.018511707,3.903220872,0.172845988108184 + 2.03689006607237 - -1.88310993392763,"lambda=l,delta=ML,kappa=1",3 -/+ 1.66941074240255,-27.03621914,-26.43621914,,
percent_disease,gini_index_all,415583,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.527984632,0.019233839,-0.027469311,3.906665125,0.179348518640643 + 2.04169269513847 - -1.87830730486153,"lambda=1,delta=1,kappa=ML",0.270170943699274 -/+ 0.660459480057921,-33.57961277,-32.97961277,Model_3l_AIC,Model_3l_AICc
percent_disease,dominance_all,415583,all,caper,"pgls(x_trait~y_trait, data=comp.data)",0.444950616,0.028051494,-0.018231768,3.902922282,0.176846508750584 + 2.13353064582954 - -1.78646935417046,"lambda=1,delta=1,kappa=1",NA,-20.5655098,-19.9655098,,
percent_disease,dominance_all,415583,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.552599853,0.017051157,-0.029755931,3.910337471,0.162290062597135 + 1.98111775190954 - -1.93888224809046,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.633111040999868,-47.47605455,-46.87605455,,
percent_disease,dominance_all,415583,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.447158369,0.02778428,-0.018511707,3.903220872,0.172845988108184 + 2.03689006607237 - -1.88310993392763,"lambda=l,delta=ML,kappa=1",3 -/+ 1.66941074240255,-27.03621914,-26.43621914,,
percent_disease,dominance_all,415583,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.527984632,0.019233839,-0.027469311,3.906665125,0.179348518640643 + 2.04169269513847 - -1.87830730486153,"lambda=1,delta=1,kappa=ML",0.270170943699274 -/+ 0.660459480057921,-33.57961277,-32.97961277,Model_3l_AIC,Model_3l_AICc
percent_black_band_disease,observed_features_all,415583,all,caper,"pgls(x_trait~y_trait, data=comp.data)",0.463013842,0.024732169,-0.019598186,-71.3471056,160.40263652137 + 156.257540038901 - 152.337540038901,"lambda=1,delta=1,kappa=1",NA,304.3814057,304.9528343,,
percent_black_band_disease,observed_features_all,415583,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.134579583,0.098850634,0.057889299,-90.6706567,151.799623263874 + 20.7666116590503 - 16.8466116590503,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.439166880516631,280.9378404,281.509269,,
percent_black_band_disease,observed_features_all,415583,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.406689916,0.031503682,-0.012518878,-76.09466497,161.682582411502 + 70.7792541806893 - 66.8592541806893,"lambda=l,delta=ML,kappa=1",3 -/+ 1.67947051096004,297.879423,298.4508516,,
percent_black_band_disease,observed_features_all,415583,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.172467974,0.082898379,0.041211942,-85.42322478,160.158657460423 + 63.7174255274159 - 59.7974255274159,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.493394418473986,291.4876492,292.0590778,Model_3l_AIC,Model_3l_AICc
percent_black_band_disease,gini_index_all,415583,all,caper,"pgls(x_trait~y_trait, data=comp.data)",0.488246124,0.022089064,-0.022361434,0.0278659994160156 + 1.99952976952731 - -1.92047023047269,0.952514743997789 + 2.02052831255098 - -1.89947168744902,"lambda=1,delta=1,kappa=1",NA,-72.10788376,-71.53645518,,
percent_black_band_disease,gini_index_all,415583,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.447957077,0.026418279,-0.017835436,0.0270670132022386 + 1.99503183931991 - -1.92496816068009,0.951861318200763 + 1.97082001678825 - -1.94917998321175,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.948208645298964,-77.16932497,-76.5978964,,
percent_black_band_disease,gini_index_all,415583,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.499300502,0.020998758,-0.023501299,0.0267215074811976 + 1.99889953700262 - -1.92110046299738,0.953468143018793 + 1.9883026965547 - -1.9316973034453,"lambda=l,delta=ML,kappa=1",3 -/+ 1.12002054054357,-76.34210132,-75.77067274,,
percent_black_band_disease,gini_index_all,415583,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.531261545,0.018060878,-0.026572719,0.0244325469117028 + 1.99840875754509 - -1.92159124245491,0.953158894025881 + 2.01362024617957 - -1.90637975382043,"lambda=1,delta=1,kappa=ML",0.820861715599014 -/+ 1.55850960246313,-72.31235113,-71.74092255,Model_3l_AIC,Model_3l_AICc
percent_black_band_disease,dominance_all,415583,all,caper,"pgls(x_trait~y_trait, data=comp.data)",0.998424022,1.81E-07,-0.045454356,0.000261623906149219 + 2.09095849035079 - -1.82904150964921,0.17682193646486 + 2.16052473186519 - -1.75947526813481,"lambda=1,delta=1,kappa=1",NA,-14.61221855,-14.04078998,,
